,Conditions,Dew Point,Events,Gust Speed,Heat Index,Humidity,Precip,Pressure,Temp.,Time (EDT),Time (EST),Visibility,Wind Dir,Wind Speed,Windchill,date
2,Overcast,16.0°F,	,31.1mph,,61%,,29.23in,28.0°F,1:51 AM,,10.0mi,WNW,13.8mph,17.0°F,2014-03-13
3,Overcast,10.0°F,	,27.6mph,,53%,,29.27in,25.0°F,2:51 AM,,10.0mi,WNW,13.8mph,13.1°F,2014-03-13
4,Overcast,7.0°F,	,35.7mph,,50%,,29.29in,23.0°F,3:51 AM,,10.0mi,NW,19.6mph,8.3°F,2014-03-13
5,Overcast,6.1°F,	,29.9mph,,53%,,29.37in,21.0°F,4:51 AM,,10.0mi,WNW,11.5mph,9.3°F,2014-03-13
6,Overcast,3.0°F,	,32.2mph,,48%,,29.42in,19.9°F,5:51 AM,,10.0mi,NW,17.3mph,5.2°F,2014-03-13
7,Overcast,1.9°F,	,25.3mph,,47%,,29.46in,19.0°F,6:51 AM,,10.0mi,NW,17.3mph,4.0°F,2014-03-13
8,Scattered Clouds,1.9°F,	,  -,,47%,,29.53in,19.0°F,7:51 AM,,10.0mi,North,  -,  -,2014-03-13
9,Overcast,1.9°F,	,28.8mph,,47%,,29.56in,19.0°F,8:51 AM,,10.0mi,NW,16.1mph,4.5°F,2014-03-13
10,Overcast,1.0°F,	,35.7mph,,44%,,29.59in,19.9°F,9:51 AM,,10.0mi,NW,15.0mph,6.2°F,2014-03-13
11,Overcast,-0.0°F,	,35.7mph,,42%,,29.62in,19.9°F,10:51 AM,,10.0mi,NW,11.5mph,7.9°F,2014-03-13
12,Mostly Cloudy,1.9°F,	,28.8mph,,42%,,29.64in,21.9°F,11:51 AM,,10.0mi,NW,13.8mph,9.2°F,2014-03-13
13,Mostly Cloudy,1.0°F,	,28.8mph,,39%,,29.67in,23.0°F,12:51 PM,,10.0mi,NW,16.1mph,9.6°F,2014-03-13
14,Scattered Clouds,3.9°F,	,23.0mph,,39%,,29.68in,26.1°F,1:51 PM,,10.0mi,WNW,12.7mph,15.0°F,2014-03-13
15,Partly Cloudy,-0.9°F,	,26.5mph,,30%,,29.70in,27.0°F,2:51 PM,,10.0mi,NW,12.7mph,16.1°F,2014-03-13
16,Clear,-2.9°F,	,32.2mph,,27%,,29.73in,27.0°F,3:51 PM,,10.0mi,NW,13.8mph,15.6°F,2014-03-13
17,Clear,-0.9°F,	,27.6mph,,30%,,29.76in,27.0°F,4:51 PM,,10.0mi,WNW,13.8mph,15.6°F,2014-03-13
18,Clear,-2.9°F,	,32.2mph,,28%,,29.81in,26.1°F,5:51 PM,,10.0mi,NW,18.4mph,12.7°F,2014-03-13
19,Clear,-4.0°F,	,23.0mph,,28%,,29.87in,25.0°F,6:51 PM,,10.0mi,NW,13.8mph,13.1°F,2014-03-13
20,Clear,-4.0°F,	,29.9mph,,29%,,29.93in,24.1°F,7:51 PM,,10.0mi,NW,15.0mph,11.5°F,2014-03-13
21,Clear,-5.1°F,	,29.9mph,,28%,,29.98in,24.1°F,8:51 PM,,10.0mi,NW,12.7mph,12.5°F,2014-03-13
22,Clear,-4.0°F,	,25.3mph,,31%,,30.02in,23.0°F,9:51 PM,,10.0mi,NW,12.7mph,11.1°F,2014-03-13
23,Clear,-2.0°F,	,21.9mph,,35%,,30.06in,21.9°F,10:51 PM,,10.0mi,NW,11.5mph,10.4°F,2014-03-13
24,Clear,-0.9°F,	,19.6mph,,37%,,30.09in,21.9°F,11:51 PM,,10.0mi,NW,15.0mph,8.7°F,2014-03-13
0,Clear,-0.9°F,	,  -,,37%,,30.11in,21.9°F,12:51 AM,,10.0mi,Variable,6.9mph,13.4°F,2014-03-14
1,Clear,-2.0°F,	,  -,,35%,,30.12in,21.9°F,1:51 AM,,10.0mi,Variable,5.8mph,14.5°F,2014-03-14
2,Overcast,-2.9°F,	,  -,,34%,,30.13in,21.9°F,2:51 AM,,10.0mi,Variable,4.6mph,15.7°F,2014-03-14
3,Partly Cloudy,-2.9°F,	,  -,,32%,,30.13in,23.0°F,3:51 AM,,10.0mi,West,9.2mph,13.1°F,2014-03-14
4,Clear,-2.0°F,	,  -,,34%,,30.17in,23.0°F,4:51 AM,,10.0mi,Variable,4.6mph,17.0°F,2014-03-14
5,Clear,-2.9°F,	,  -,,32%,,30.18in,23.0°F,5:51 AM,,10.0mi,Calm,Calm,  -,2014-03-14
6,Clear,-2.0°F,	,  -,,32%,,30.19in,24.1°F,6:51 AM,,10.0mi,Variable,4.6mph,18.2°F,2014-03-14
7,Clear,1.0°F,	,  -,,34%,,30.21in,26.1°F,7:51 AM,,10.0mi,Variable,6.9mph,18.4°F,2014-03-14
8,Overcast,3.0°F,	,  -,,34%,,30.22in,28.0°F,8:51 AM,,10.0mi,Variable,3.5mph,24.2°F,2014-03-14
9,Overcast,6.1°F,	,  -,,36%,,30.22in,30.0°F,9:51 AM,,10.0mi,Variable,4.6mph,25.2°F,2014-03-14
10,Overcast,7.0°F,	,  -,,35%,,30.20in,32.0°F,10:51 AM,,10.0mi,Variable,5.8mph,26.4°F,2014-03-14
11,Overcast,8.1°F,	,  -,,33%,,30.18in,35.1°F,11:51 AM,,10.0mi,Variable,3.5mph,32.2°F,2014-03-14
12,Overcast,10.0°F,	,20.7mph,,34%,,30.17in,36.0°F,12:51 PM,,10.0mi,Variable,5.8mph,31.1°F,2014-03-14
13,Scattered Clouds,10.9°F,	,  -,,31%,,30.14in,39.9°F,1:51 PM,,10.0mi,WSW,9.2mph,33.9°F,2014-03-14
14,Clear,10.0°F,	,20.7mph,,27%,,30.10in,42.1°F,2:51 PM,,10.0mi,South,8.1mph,37.1°F,2014-03-14
15,Clear,10.0°F,	,  -,,25%,,30.07in,44.1°F,3:51 PM,,10.0mi,SSW,9.2mph,39.0°F,2014-03-14
16,Clear,19.0°F,	,  -,,37%,,30.03in,44.1°F,4:51 PM,,10.0mi,Variable,3.5mph,42.5°F,2014-03-14
17,Clear,21.0°F,	,17.3mph,,42%,,30.00in,43.0°F,5:51 PM,,10.0mi,South,6.9mph,38.8°F,2014-03-14
18,Clear,23.0°F,	,  -,,47%,,29.99in,42.1°F,6:51 PM,,10.0mi,South,8.1mph,37.1°F,2014-03-14
19,Clear,23.0°F,	,  -,,49%,,29.97in,41.0°F,7:51 PM,,10.0mi,South,6.9mph,36.4°F,2014-03-14
20,Clear,23.0°F,	,  -,,49%,,29.97in,41.0°F,8:51 PM,,10.0mi,South,8.1mph,35.8°F,2014-03-14
21,Clear,24.1°F,	,  -,,51%,,29.96in,41.0°F,9:51 PM,,10.0mi,SW,4.6mph,38.0°F,2014-03-14
22,Clear,24.1°F,	,  -,,49%,,29.94in,42.1°F,10:51 PM,,10.0mi,Calm,Calm,  -,2014-03-14
23,Clear,24.1°F,	,  -,,47%,,29.91in,43.0°F,11:51 PM,,10.0mi,Variable,3.5mph,41.3°F,2014-03-14
0,Clear,23.0°F,	,  -,,43%,,29.88in,44.1°F,12:51 AM,,10.0mi,Variable,5.8mph,40.8°F,2014-03-15
1,Overcast,25.0°F,	,  -,,47%,,29.85in,44.1°F,1:51 AM,,10.0mi,Calm,Calm,  -,2014-03-15
2,Overcast,24.1°F,	,  -,,42%,,29.82in,46.0°F,2:51 AM,,10.0mi,SSW,8.1mph,41.9°F,2014-03-15
3,Overcast,25.0°F,	,  -,,44%,,29.79in,46.0°F,3:51 AM,,10.0mi,North,  -,  -,2014-03-15
4,Overcast,27.0°F,	,  -,,44%,,29.76in,48.0°F,4:51 AM,,10.0mi,Variable,5.8mph,  -,2014-03-15
5,Overcast,27.0°F,	,  -,,43%,,29.77in,48.9°F,5:51 AM,,10.0mi,Variable,5.8mph,  -,2014-03-15
6,Scattered Clouds,26.1°F,	,  -,,42%,,29.76in,48.0°F,6:51 AM,,10.0mi,North,  -,  -,2014-03-15
7,Overcast,26.1°F,	,  -,,42%,,29.80in,48.0°F,7:51 AM,,10.0mi,Variable,3.5mph,  -,2014-03-15
8,Overcast,25.0°F,	,  -,,39%,,29.77in,48.9°F,8:51 AM,,10.0mi,Variable,3.5mph,  -,2014-03-15
9,Scattered Clouds,25.0°F,	,  -,,36%,,29.78in,51.1°F,9:51 AM,,10.0mi,West,8.1mph,  -,2014-03-15
10,Partly Cloudy,26.1°F,	,17.3mph,,34%,,29.78in,54.0°F,10:51 AM,,10.0mi,Variable,6.9mph,  -,2014-03-15
11,Clear,27.0°F,	,28.8mph,,33%,,29.78in,55.9°F,11:51 AM,,10.0mi,West,9.2mph,  -,2014-03-15
12,Mostly Cloudy,27.0°F,	,19.6mph,,31%,,29.78in,57.9°F,12:51 PM,,10.0mi,West,11.5mph,  -,2014-03-15
13,Scattered Clouds,23.0°F,	,28.8mph,,28%,,29.79in,55.9°F,1:51 PM,,10.0mi,WNW,15.0mph,  -,2014-03-15
14,Partly Cloudy,23.0°F,	,29.9mph,,27%,,29.79in,57.0°F,2:51 PM,,10.0mi,West,10.4mph,  -,2014-03-15
15,Scattered Clouds,21.9°F,	,25.3mph,,26%,,29.79in,57.0°F,3:51 PM,,10.0mi,WNW,13.8mph,  -,2014-03-15
16,Scattered Clouds,21.9°F,	,18.4mph,,26%,,29.81in,57.0°F,4:51 PM,,10.0mi,WNW,8.1mph,  -,2014-03-15
17,Clear,21.0°F,	,20.7mph,,27%,,29.84in,55.0°F,5:51 PM,,10.0mi,WNW,10.4mph,  -,2014-03-15
18,Clear,19.9°F,	,21.9mph,,26%,,29.87in,54.0°F,6:51 PM,,10.0mi,WNW,13.8mph,  -,2014-03-15
19,Scattered Clouds,21.0°F,	,20.7mph,,29%,,29.90in,53.1°F,7:51 PM,,10.0mi,West,11.5mph,  -,2014-03-15
20,Clear,21.0°F,	,19.6mph,,31%,,29.93in,51.1°F,8:51 PM,,10.0mi,West,9.2mph,  -,2014-03-15
21,Clear,19.0°F,	,26.5mph,,29%,,29.95in,50.0°F,9:51 PM,,10.0mi,WNW,17.3mph,  -,2014-03-15
22,Clear,21.9°F,	,18.4mph,,37%,,29.99in,46.9°F,10:51 PM,,10.0mi,NW,10.4mph,  -,2014-03-15
23,Clear,23.0°F,	,  -,,42%,,30.00in,45.0°F,11:51 PM,,10.0mi,NW,8.1mph,40.6°F,2014-03-15
0,Clear,21.0°F,	,  -,,42%,,30.02in,43.0°F,12:51 AM,,10.0mi,NW,9.2mph,37.7°F,2014-03-16
1,Clear,18.0°F,	,  -,,41%,,30.04in,39.9°F,1:51 AM,,10.0mi,NW,6.9mph,35.1°F,2014-03-16
2,Clear,17.1°F,	,18.4mph,,41%,,30.06in,39.0°F,2:51 AM,,10.0mi,WNW,8.1mph,33.4°F,2014-03-16
3,Clear,16.0°F,	,17.3mph,,42%,,30.06in,37.0°F,3:51 AM,,10.0mi,NW,8.1mph,31.0°F,2014-03-16
4,Clear,10.9°F,	,19.6mph,,37%,,30.08in,35.1°F,4:51 AM,,10.0mi,WNW,12.7mph,26.4°F,2014-03-16
5,Clear,14.0°F,	,  -,,46%,,30.09in,33.1°F,5:51 AM,,10.0mi,Variable,4.6mph,28.7°F,2014-03-16
6,Clear,7.0°F,	,27.6mph,,37%,,30.12in,30.9°F,6:51 AM,,10.0mi,NW,13.8mph,20.7°F,2014-03-16
7,Clear,7.0°F,	,21.9mph,,37%,,30.15in,30.9°F,7:51 AM,,10.0mi,NW,12.7mph,21.2°F,2014-03-16
8,Clear,9.0°F,	,18.4mph,,40%,,30.17in,30.9°F,8:51 AM,,10.0mi,Variable,5.8mph,25.2°F,2014-03-16
9,Clear,7.0°F,	,  -,,37%,,30.17in,30.9°F,9:51 AM,,10.0mi,North,  -,  -,2014-03-16
10,Clear,6.1°F,	,  -,,34%,,30.19in,32.0°F,10:51 AM,,10.0mi,WNW,6.9mph,25.6°F,2014-03-16
11,Clear,7.0°F,	,  -,,31%,,30.18in,35.1°F,11:51 AM,,10.0mi,North,8.1mph,28.6°F,2014-03-16
12,Clear,5.0°F,	,  -,,28%,,30.18in,35.1°F,12:51 PM,,10.0mi,North,  -,  -,2014-03-16
13,Clear,3.0°F,	,  -,,25%,,30.18in,36.0°F,1:51 PM,,10.0mi,Variable,3.5mph,33.3°F,2014-03-16
14,Clear,3.9°F,	,  -,,26%,,30.17in,36.0°F,2:51 PM,,10.0mi,North,  -,  -,2014-03-16
15,Clear,3.0°F,	,  -,,25%,,30.16in,36.0°F,3:51 PM,,10.0mi,NW,8.1mph,29.6°F,2014-03-16
16,Clear,3.9°F,	,  -,,27%,,30.18in,35.1°F,4:51 PM,,10.0mi,NW,5.8mph,30.1°F,2014-03-16
17,Overcast,1.9°F,	,  -,,26%,,30.18in,34.0°F,5:51 PM,,10.0mi,Variable,4.6mph,29.8°F,2014-03-16
18,Overcast,1.9°F,	,  -,,27%,,30.18in,33.1°F,6:51 PM,,10.0mi,Variable,5.8mph,27.7°F,2014-03-16
19,Overcast,3.0°F,	,  -,,28%,,30.19in,33.1°F,7:51 PM,,10.0mi,WNW,8.1mph,26.1°F,2014-03-16
20,Overcast,3.9°F,	,  -,,31%,,30.19in,32.0°F,8:51 PM,,10.0mi,Variable,5.8mph,26.4°F,2014-03-16
21,Overcast,3.0°F,	,  -,,29%,,30.16in,32.0°F,9:51 PM,,10.0mi,Variable,5.8mph,26.4°F,2014-03-16
22,Overcast,3.9°F,	,  -,,31%,,30.15in,32.0°F,10:51 PM,,10.0mi,NNE,9.2mph,24.2°F,2014-03-16
23,Overcast,5.0°F,	,  -,,32%,,30.13in,32.0°F,11:51 PM,,10.0mi,Variable,5.8mph,26.4°F,2014-03-16
0,Overcast,3.9°F,	,  -,,33%,,30.14in,30.0°F,12:51 AM,,10.0mi,NE,8.1mph,22.4°F,2014-03-17
1,Overcast,1.9°F,	,  -,,32%,,30.11in,28.9°F,1:51 AM,,10.0mi,NE,11.5mph,19.2°F,2014-03-17
2,Overcast,1.0°F,	,23.0mph,,33%,,30.10in,27.0°F,2:51 AM,,10.0mi,North,13.8mph,15.6°F,2014-03-17
3,Overcast,-5.1°F,	,20.7mph,,26%,,30.08in,26.1°F,3:51 AM,,10.0mi,NE,13.8mph,14.5°F,2014-03-17
4,Overcast,-0.9°F,	,16.1mph,,33%,,30.09in,25.0°F,4:51 AM,,10.0mi,NNE,10.4mph,14.8°F,2014-03-17
5,Overcast,1.0°F,	,  -,,37%,,30.07in,24.1°F,5:51 AM,,10.0mi,NNE,10.4mph,13.7°F,2014-03-17
6,Overcast,1.0°F,	,17.3mph,,37%,,30.08in,24.1°F,6:51 AM,,10.0mi,NNE,11.5mph,13.1°F,2014-03-17
7,Overcast,1.0°F,	,  -,,37%,,30.10in,24.1°F,7:51 AM,,10.0mi,NNE,9.2mph,14.4°F,2014-03-17
8,Mostly Cloudy,1.0°F,	,  -,,39%,,30.10in,23.0°F,8:51 AM,,10.0mi,NE,9.2mph,13.1°F,2014-03-17
9,Overcast,1.9°F,	,19.6mph,,38%,,30.09in,24.1°F,9:51 AM,,10.0mi,NNE,11.5mph,13.1°F,2014-03-17
10,Overcast,1.9°F,	,19.6mph,,35%,,30.08in,26.1°F,10:51 AM,,10.0mi,NNE,12.7mph,15.0°F,2014-03-17
11,Partly Cloudy,6.1°F,	,  -,,39%,,30.07in,28.0°F,11:51 AM,,10.0mi,NE,10.4mph,18.6°F,2014-03-17
12,Overcast,3.9°F,	,  -,,36%,,30.09in,28.0°F,12:51 PM,,10.0mi,North,9.2mph,19.3°F,2014-03-17
13,Scattered Clouds,5.0°F,	,  -,,33%,,30.06in,30.9°F,1:51 PM,,10.0mi,Variable,4.6mph,26.2°F,2014-03-17
14,Scattered Clouds,5.0°F,	,  -,,31%,,30.05in,33.1°F,2:51 PM,,10.0mi,North,  -,  -,2014-03-17
15,Mostly Cloudy,3.0°F,	,  -,,28%,,30.05in,33.1°F,3:51 PM,,10.0mi,ENE,9.2mph,25.5°F,2014-03-17
16,Overcast,3.0°F,	,  -,,28%,,30.06in,33.1°F,4:51 PM,,10.0mi,NE,5.8mph,27.7°F,2014-03-17
17,Overcast,3.9°F,	,  -,,29%,,30.06in,33.1°F,5:51 PM,,10.0mi,Variable,4.6mph,28.7°F,2014-03-17
18,Overcast,3.0°F,	,  -,,29%,,30.08in,32.0°F,6:51 PM,,10.0mi,Calm,Calm,  -,2014-03-17
19,Overcast,3.0°F,	,  -,,28%,,30.08in,33.1°F,7:51 PM,,10.0mi,NE,5.8mph,27.7°F,2014-03-17
20,Overcast,3.9°F,	,  -,,29%,,30.10in,33.1°F,8:51 PM,,10.0mi,NNW,3.5mph,30.0°F,2014-03-17
21,Overcast,3.9°F,	,  -,,29%,,30.11in,33.1°F,9:51 PM,,10.0mi,NE,5.8mph,27.7°F,2014-03-17
22,Mostly Cloudy,8.1°F,	,  -,,37%,,30.13in,32.0°F,10:51 PM,,10.0mi,NNE,3.5mph,28.7°F,2014-03-17
23,Partly Cloudy,10.0°F,	,  -,,42%,,30.12in,30.9°F,11:51 PM,,10.0mi,ENE,5.8mph,25.2°F,2014-03-17
0,Clear,10.9°F,	,  -,,45%,,30.13in,30.0°F,12:51 AM,,10.0mi,NE,4.6mph,25.2°F,2014-03-18
1,Clear,5.0°F,	,  -,,35%,,30.14in,30.0°F,1:51 AM,,10.0mi,NE,6.9mph,23.2°F,2014-03-18
2,Clear,7.0°F,	,  -,,38%,,30.14in,30.0°F,2:51 AM,,10.0mi,Calm,Calm,  -,2014-03-18
3,Clear,6.1°F,	,  -,,36%,,30.15in,30.0°F,3:51 AM,,10.0mi,Variable,4.6mph,25.2°F,2014-03-18
4,Clear,8.1°F,	,  -,,41%,,30.17in,28.9°F,4:51 AM,,10.0mi,ENE,4.6mph,23.9°F,2014-03-18
5,Clear,8.1°F,	,  -,,41%,,30.17in,28.9°F,5:51 AM,,10.0mi,NE,4.6mph,23.9°F,2014-03-18
6,Clear,9.0°F,	,  -,,45%,,30.19in,28.0°F,6:51 AM,,10.0mi,ENE,4.6mph,22.8°F,2014-03-18
7,Clear,8.1°F,	,  -,,43%,,30.25in,28.0°F,7:51 AM,,10.0mi,Variable,4.6mph,22.8°F,2014-03-18
8,Scattered Clouds,14.0°F,	,17.3mph,,51%,,30.28in,30.0°F,8:51 AM,,10.0mi,Variable,6.9mph,23.2°F,2014-03-18
9,Clear,14.0°F,	,  -,,48%,,30.26in,32.0°F,9:51 AM,,10.0mi,NE,13.8mph,22.1°F,2014-03-18
10,Clear,14.0°F,	,  -,,46%,,30.26in,33.1°F,10:51 AM,,10.0mi,ENE,11.5mph,24.4°F,2014-03-18
11,Clear,8.1°F,	,21.9mph,,33%,,30.27in,35.1°F,11:51 AM,,10.0mi,East,8.1mph,28.6°F,2014-03-18
12,Clear,1.9°F,	,17.3mph,,23%,,30.28in,37.0°F,12:51 PM,,10.0mi,East,9.2mph,30.4°F,2014-03-18
13,Clear,-0.0°F,	,18.4mph,,19%,,30.29in,39.9°F,1:51 PM,,10.0mi,Variable,6.9mph,35.1°F,2014-03-18
14,Clear,7.0°F,	,  -,,24%,,30.27in,42.1°F,2:51 PM,,10.0mi,NE,10.4mph,36.1°F,2014-03-18
15,Clear,7.0°F,	,  -,,24%,,30.27in,42.1°F,3:51 PM,,10.0mi,East,6.9mph,37.7°F,2014-03-18
16,Clear,6.1°F,	,  -,,23%,,30.26in,42.1°F,4:51 PM,,10.0mi,Variable,5.8mph,38.4°F,2014-03-18
17,Clear,5.0°F,	,  -,,23%,,30.27in,41.0°F,5:51 PM,,10.0mi,NE,9.2mph,35.2°F,2014-03-18
18,Clear,3.9°F,	,  -,,24%,,30.27in,37.9°F,6:51 PM,,10.0mi,ENE,9.2mph,31.5°F,2014-03-18
19,Clear,6.1°F,	,  -,,28%,,30.27in,37.0°F,7:51 PM,,10.0mi,Variable,5.8mph,32.4°F,2014-03-18
20,Clear,10.9°F,	,  -,,36%,,30.29in,36.0°F,8:51 PM,,10.0mi,East,8.1mph,29.6°F,2014-03-18
21,Clear,19.0°F,	,  -,,52%,,30.29in,35.1°F,9:51 PM,,10.0mi,East,8.1mph,28.6°F,2014-03-18
22,Clear,23.0°F,	,  -,,61%,,30.30in,35.1°F,10:51 PM,,10.0mi,Variable,5.8mph,30.1°F,2014-03-18
23,Clear,23.0°F,	,  -,,64%,,30.29in,34.0°F,11:51 PM,,10.0mi,ENE,5.8mph,28.8°F,2014-03-18
0,Clear,24.1°F,	,  -,,67%,,30.28in,34.0°F,12:51 AM,,10.0mi,ENE,6.9mph,28.0°F,2014-03-19
1,Clear,24.1°F,	,  -,,70%,,30.27in,33.1°F,1:51 AM,,10.0mi,East,9.2mph,25.5°F,2014-03-19
2,Clear,25.0°F,	,  -,,72%,,30.27in,33.1°F,2:51 AM,,10.0mi,Variable,5.8mph,27.7°F,2014-03-19
3,Clear,24.1°F,	,  -,,73%,,30.27in,32.0°F,3:51 AM,,10.0mi,East,5.8mph,26.4°F,2014-03-19
4,Clear,25.0°F,	,  -,,75%,,30.28in,32.0°F,4:51 AM,,10.0mi,Variable,5.8mph,26.4°F,2014-03-19
5,Overcast,25.0°F,	,  -,,72%,,30.29in,33.1°F,5:51 AM,,10.0mi,ENE,8.1mph,26.1°F,2014-03-19
6,Overcast,26.1°F,	,  -,,73%,,30.32in,34.0°F,6:51 AM,,10.0mi,Variable,4.6mph,29.8°F,2014-03-19
7,Overcast,26.1°F,	,  -,,73%,,30.30in,34.0°F,7:51 AM,,10.0mi,Variable,4.6mph,29.8°F,2014-03-19
8,Overcast,27.0°F,	,  -,,75%,,30.29in,34.0°F,8:51 AM,,10.0mi,ENE,9.2mph,26.6°F,2014-03-19
9,Overcast,27.0°F,	,  -,,70%,,30.27in,36.0°F,9:51 AM,,10.0mi,ESE,8.1mph,29.6°F,2014-03-19
10,Overcast,28.0°F,	,  -,,68%,,30.30in,37.9°F,10:31 AM,,10.0mi,NE,6.9mph,32.7°F,2014-03-19
11,Overcast,28.0°F,	,  -,,68%,,30.27in,37.9°F,10:51 AM,,10.0mi,ENE,9.2mph,31.5°F,2014-03-19
12,Overcast,28.9°F,	,  -,,65%,,30.25in,39.9°F,11:51 AM,,10.0mi,East,6.9mph,35.1°F,2014-03-19
13,Overcast,28.9°F,	,  -,,65%,,30.22in,39.9°F,12:51 PM,,10.0mi,Variable,3.5mph,37.8°F,2014-03-19
14,Overcast,30.0°F,	,  -,,65%,,30.19in,41.0°F,1:51 PM,,10.0mi,ENE,10.4mph,34.7°F,2014-03-19
15,Overcast,30.9°F,	,  -,,65%,,30.12in,42.1°F,2:51 PM,,10.0mi,East,6.9mph,37.7°F,2014-03-19
16,Overcast,32.0°F,	,  -,,63%,,30.11in,44.1°F,3:51 PM,,9.0mi,Variable,4.6mph,41.5°F,2014-03-19
17,Haze,35.1°F,	,  -,,79%,0.03in,30.09in,41.0°F,4:51 PM,,6.0mi,ESE,8.1mph,35.8°F,2014-03-19
18,Overcast,35.1°F,	,19.6mph,,79%,0.00in,30.03in,41.0°F,5:51 PM,,9.0mi,ESE,11.5mph,34.3°F,2014-03-19
19,Overcast,36.0°F,	,  -,,79%,,30.01in,42.1°F,6:51 PM,,9.0mi,Variable,6.9mph,37.7°F,2014-03-19
20,Rain,37.9°F,Rain,  -,,89%,0.04in,30.02in,41.0°F,7:28 PM,,2.0mi,East,9.2mph,35.2°F,2014-03-19
21,Light Rain,37.9°F,Rain,19.6mph,,89%,0.07in,29.98in,41.0°F,7:50 PM,,3.0mi,ESE,10.4mph,34.7°F,2014-03-19
22,Overcast,37.9°F,	,20.7mph,,85%,0.00in,29.98in,42.1°F,8:04 PM,,8.0mi,SSE,9.2mph,36.6°F,2014-03-19
23,Light Rain,39.0°F,Rain,  -,,86%,0.00in,29.90in,43.0°F,8:51 PM,,8.0mi,East,10.4mph,37.2°F,2014-03-19
24,Rain,41.0°F,Rain,18.4mph,,89%,0.05in,29.91in,44.1°F,9:26 PM,,2.5mi,ESE,10.4mph,38.6°F,2014-03-19
25,Light Rain,42.1°F,Rain,  -,,90%,0.06in,29.91in,45.0°F,9:35 PM,,5.0mi,Variable,5.8mph,41.8°F,2014-03-19
26,Heavy Rain,42.8°F,Rain,  -,,93%,0.09in,29.92in,44.6°F,9:48 PM,,2.0mi,East,8.1mph,40.2°F,2014-03-19
27,Rain,42.1°F,Rain,  -,,86%,0.12in,29.89in,46.0°F,9:51 PM,,2.0mi,Variable,5.8mph,43.1°F,2014-03-19
28,Light Rain,43.0°F,Rain,16.1mph,,89%,0.06in,29.88in,46.0°F,10:16 PM,,5.0mi,ESE,8.1mph,41.9°F,2014-03-19
29,Heavy Rain,43.0°F,Rain,  -,,89%,0.10in,29.92in,46.0°F,10:34 PM,,1.5mi,WNW,9.2mph,41.4°F,2014-03-19
30,Heavy Rain,41.0°F,Rain,  -,,93%,0.27in,29.91in,42.8°F,10:47 PM,,0.8mi,Variable,4.6mph,40.1°F,2014-03-19
31,Rain,41.0°F,Rain,  -,,93%,0.31in,29.88in,43.0°F,10:51 PM,,1.2mi,Variable,3.5mph,41.3°F,2014-03-19
32,Heavy Rain,41.0°F,Rain,  -,,93%,0.18in,29.89in,43.0°F,11:21 PM,,1.2mi,Variable,5.8mph,39.5°F,2014-03-19
33,Rain,42.1°F,Rain,  -,,90%,0.21in,29.88in,45.0°F,11:28 PM,,2.0mi,ENE,6.9mph,41.2°F,2014-03-19
34,Rain,41.0°F,Rain,  -,,93%,0.25in,29.87in,43.0°F,11:42 PM,,2.0mi,NE,5.8mph,39.5°F,2014-03-19
35,Light Rain,39.2°F,Rain,  -,,87%,0.26in,29.86in,42.8°F,11:49 PM,,2.5mi,ENE,6.9mph,38.6°F,2014-03-19
36,Rain,39.9°F,Rain,  -,,92%,0.26in,29.83in,42.1°F,11:51 PM,,2.5mi,ENE,6.9mph,37.7°F,2014-03-19
0,Heavy Rain,39.9°F,Rain,  -,,89%,0.04in,29.85in,43.0°F,12:01 AM,,1.2mi,NE,3.5mph,41.3°F,2014-03-20
1,Rain,39.9°F,Rain,  -,,89%,0.08in,29.86in,43.0°F,12:08 AM,,0.8mi,North,5.8mph,39.5°F,2014-03-20
2,Light Rain,41.0°F,Rain,  -,,93%,0.09in,29.85in,43.0°F,12:16 AM,,1.5mi,ENE,5.8mph,39.5°F,2014-03-20
3,Light Rain,41.0°F,Rain,  -,,93%,0.10in,29.85in,43.0°F,12:24 AM,,2.5mi,NE,4.6mph,40.3°F,2014-03-20
4,Overcast,39.9°F,	,  -,,92%,0.13in,29.80in,42.1°F,12:51 AM,,3.0mi,East,6.9mph,37.7°F,2014-03-20
5,Overcast,39.9°F,	,  -,,92%,,29.80in,42.1°F,1:40 AM,,2.5mi,ENE,5.8mph,38.4°F,2014-03-20
6,Overcast,39.9°F,	,  -,,92%,,29.77in,42.1°F,1:51 AM,,2.5mi,Calm,Calm,  -,2014-03-20
7,Overcast,39.0°F,	,  -,,89%,,29.79in,42.1°F,2:02 AM,,3.0mi,Calm,Calm,  -,2014-03-20
8,Overcast,39.0°F,	,  -,,93%,,29.75in,41.0°F,2:51 AM,,2.5mi,Calm,Calm,  -,2014-03-20
9,Overcast,37.9°F,	,  -,,93%,,29.78in,39.9°F,3:22 AM,,3.0mi,Calm,Calm,  -,2014-03-20
10,Overcast,39.0°F,	,  -,,93%,,29.77in,41.0°F,3:32 AM,,2.0mi,Calm,Calm,  -,2014-03-20
11,Overcast,37.9°F,	,  -,,93%,,29.74in,39.9°F,3:51 AM,,2.5mi,Calm,Calm,  -,2014-03-20
12,Overcast,37.9°F,	,  -,,93%,,29.76in,39.9°F,4:05 AM,,1.8mi,Calm,Calm,  -,2014-03-20
13,Overcast,37.9°F,	,  -,,93%,,29.76in,39.9°F,4:12 AM,,2.0mi,Calm,Calm,  -,2014-03-20
